order_id,supplier,category,order_date,promised_date,actual_date,ordered_qty,delivered_qty,rejected_qty,base_price,actual_price,complaints,payment_status
ORD-1000,Atlas Logistics,Packaging,2023-03-22,2023-03-29,2023-03-29,967,967,0,26,25.182862081087734,0,On-Time
ORD-1001,Apex Logistics,Components,2023-05-21,2023-05-31,2023-05-31,748,748,0,60,63.03013634649427,0,Under Review
ORD-1002,Alpha Parts,Electronics,2023-05-06,2023-05-14,2023-05-14,714,714,35,30,29.52745277670188,0,On-Time
ORD-1003,Speedy Supply,Tools,2023-05-26,2023-06-07,2023-06-09,326,326,0,34,38.665125183935686,0,On-Time
ORD-1004,Phoenix Trading,Electronics,2023-09-03,2023-09-10,2023-09-10,991,991,9,93,93.98240871527199,0,On-Time
ORD-1005,Beta Corp,Raw Materials,2023-08-23,2023-09-04,2023-09-06,853,853,0,92,93.86986333614969,0,On-Time
ORD-1006,Vertex Solutions,Tools,2023-12-21,2023-12-30,2023-12-30,804,804,0,46,45.71572098326166,0,On-Time
ORD-1007,Omega Industries,Raw Materials,2023-09-20,2023-09-30,2023-10-12,250,200,30,68,69.7786732712584,0,On-Time
ORD-1008,Quantum Logistics,Components,2023-03-15,2023-03-23,2023-03-24,926,926,0,75,71.99802691453239,0,On-Time
ORD-1009,Atlas Logistics,Fasteners,2023-05-16,2023-05-22,2023-05-22,146,146,0,95,94.65285715320256,0,On-Time
ORD-1010,Beta Corp,Components,2023-03-26,2023-04-03,2023-04-03,551,551,0,48,54.02160950325327,0,On-Time
ORD-1011,Quality First,Chemicals,2023-09-08,2023-09-16,2023-09-16,485,485,0,49,47.71863643904914,0,Under Review
ORD-1012,Omega Industries,Chemicals,2023-09-25,2023-10-03,2023-10-15,752,601,60,53,58.83562474296344,0,On-Time
ORD-1013,Quality First,Packaging,2023-09-08,2023-09-20,2023-09-20,631,631,0,46,51.8878984264246,0,Delayed
ORD-1014,Quantum Logistics,Fasteners,2023-08-04,2023-08-15,2023-08-15,852,852,0,72,68.42154719083102,0,On-Time
ORD-1015,Delta Manufacturing,Tools,2023-04-17,2023-04-25,2023-04-25,459,449,0,53,53.87410330016506,0,On-Time
ORD-1016,Speedy Supply,Machinery,2023-02-28,2023-03-13,2023-03-13,137,123,0,49,55.336244421728885,0,On-Time
ORD-1017,Omega Industries,Components,2023-05-09,2023-05-22,2023-05-22,320,192,19,37,40.86045025488309,1,Delayed
ORD-1018,Elite Materials,Components,2023-06-06,2023-06-14,2023-06-14,750,750,0,99,111.39474102619562,1,On-Time
ORD-1019,Mega Corp,Chemicals,2023-04-03,2023-04-08,2023-04-08,233,233,0,90,94.35063922953724,0,On-Time
ORD-1020,Mega Corp,Packaging,2023-02-02,2023-02-12,2023-02-12,928,928,0,61,64.61308058519695,0,On-Time
ORD-1021,Precision Parts,Components,2023-10-31,2023-11-10,2023-11-10,145,145,0,97,96.2105490854959,0,On-Time
ORD-1022,Vertex Solutions,Fasteners,2023-05-30,2023-06-11,2023-06-13,700,700,0,17,16.253808679621525,0,On-Time
ORD-1023,Delta Manufacturing,Raw Materials,2023-02-07,2023-02-20,2023-02-20,480,480,0,65,67.85384373705017,0,On-Time
ORD-1024,Delta Manufacturing,Components,2023-11-08,2023-11-19,2023-11-19,860,860,0,96,97.7146089755896,0,On-Time
ORD-1025,Swift Transport,Machinery,2023-09-13,2023-09-20,2023-09-24,230,207,10,67,69.8118616252379,0,On-Time
ORD-1026,Vanguard Parts,Chemicals,2023-01-29,2023-02-12,2023-02-12,846,846,0,56,54.11970941603226,0,On-Time
